Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
SH2-84;HII;19:49:03.99;+18:24:01.02;Sge;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-84, Sh 2-84, Sharpless 84;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-85;HII;19:03:17.23;+25:49:49.38;Lyr;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-85, Sh 2-85, Sharpless 85;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-87;HII;19:46:24.7;+24:37:41.2;Vul;10.00;10.00;;;;;;;;;;;;;;;;;;;;;SH 2-87, Sh 2-87, Sharpless 87;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-88;HII;19:45:59;+25:20:00;Vul;25.00;25.00;;;;;;;;;;;;;;;;;;;;;SH 2-88, Sh 2-88, Sharpless 88;Face of God Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-89;HII;19:50:02.41;+26:29:09.87;Vul;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-89, Sh 2-89, Sharpless 89;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-90;HII;19:49:13.31;+26:52:03.56;Vul;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-90, Sh 2-90, Sharpless 90;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-91;SNR;19:35:34.04;+29:36:16.03;Cyg;120.00;120.00;;;;;;;;;;;;;;;;;;;;;SH 2-91, Sh 2-91, Sharpless 91;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-92;HII;19:46:39.31;+28:14:43.72;Vul;50.00;50.00;;;;;;;;;;;;;;;;;;;;;SH 2-92, Sh 2-92, Sharpless 92;Little Veil Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-93;HII;19:55:01.22;+27:12:48.55;Vul;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-93, Sh 2-93, Sharpless 93;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-94;HII;19:27:51.61;+31:28:14.16;Cyg;25.00;25.00;;;;;;;;;;;;;;;;;;;;;SH 2-94, Sh 2-94, Sharpless 94;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-96;HII;19:28:42.05;+32:41:21.24;Cyg;25.00;25.00;;;;;;;;;;;;;;;;;;;;;SH 2-96, Sh 2-96, Sharpless 96;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-97;HII;19:56:05.26;+30:15:57.27;Cyg;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-97, Sh 2-97, Sharpless 97;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-98;HII;19:58:44.52;+31:25:17.77;Cyg;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-98, Sh 2-98, Sharpless 98;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-101;HII;20:00:29.37;+35:19:13.9;Cyg;16.00;9.00;;;9;;;;;;;;;;;;;;;;;;SH 2-101, Sh 2-101, Sharpless 101;Tulip Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|V-Mag:2|Identifiers:2
SH2-102;HII;20:31:47.07;+30:36:18.55;Cyg;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-102, Sh 2-102, Sharpless 102;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-103;HII;20:50:32.47;+30:55:24.41;Cyg;210.00;;;;;;;;;;;;;;;;;;;;;;SH 2-103, Sh 2-103, Sharpless 103;Cygnus Loop;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-104;HII;20:17:45.14;+36:44:40.07;Cyg;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-104, Sh 2-104, Sharpless 104;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-106;HII;20:27:27.1;+37:22:39;Cyg;3.00;3.00;;;;;;;;;;;;;;;;;;;;;SH 2-106, Sh 2-106, Sharpless 106;Celestial Snow Angel;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-107;HII;20:42:46.82;+36:20:34.15;Cyg;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-107, Sh 2-107, Sharpless 107;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-108;HII;20:22:35.48;+40:15:15.49;Cyg;180.00;;;;;;;;;;;;;;;;;;;;;;SH 2-108, Sh 2-108, Sharpless 108;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-109;HII;20:33:38.46;+40:20:32.91;Cyg;1080.00;;;;;;;;;;;;;;;;;;;;;;SH 2-109, Sh 2-109, Sharpless 109;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-110;HII;21:20:48.86;+32:27:28.31;Cyg;50.00;;;;;;;;;;;;;;;;;;;;;;SH 2-110, Sh 2-110, Sharpless 110;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-111;HII;21:41:53.29;+30:06:20.53;Cyg;90.00;;;;;;;;;;;;;;;;;;;;;;SH 2-111, Sh 2-111, Sharpless 111;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-112;HII;20:33:50.36;+45:39:35.31;Cyg;15.00;15.00;;;13.8;;;;;;;;;;;;;;;;;;SH 2-112, Sh 2-112, Sharpless 112;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|V-Mag:2|Identifiers:2
SH2-113;HII;21:20:48.18;+38:05:28.83;Cyg;15.00;;;;;;;;;;;;;;;;;;;;;;SH 2-113, Sh 2-113, Sharpless 113;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-114;HII;21:21:12;+38:42:00;Cyg;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-114, Sh 2-114, Sharpless 114;Flying Dragon Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-115;HII;20:35:02;+47:02:24;Cyg;50.00;;;;;;;;;;;;;;;;;;;;;;SH 2-115, Sh 2-115, Sharpless 115;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-116;HII;20:32:19.25;+47:21:25.23;Cyg;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-116, Sh 2-116, Sharpless 116;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-118;HII;21:37:01.13;+40:12:56.61;Cyg;480.00;;;;;;;;;;;;;;;;;;;;;;SH 2-118, Sh 2-118, Sharpless 118;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-119;HII;21:18:25.79;+43:56:16.09;Cyg;160.00;;;;;;;;;;;;;;;;;;;;;;SH 2-119, Sh 2-119, Sharpless 119;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-120;HII;21:03:47.11;+49:52:50.61;Cyg;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-120, Sh 2-120, Sharpless 120;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
