Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
SH2-215;HII;04:17:32.95;+42:36:53.79;Per;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-215, Sh 2-215, Sharpless 215;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-216;PN;04:45:35;+46:49:39;Per;100.00;100.00;;;;;;;;;;;;;;;;;;;;;SH 2-216, Sh 2-216, Sharpless 216;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-217;HII;04:58:47.52;+48:00:20.49;Aur;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-217, Sh 2-217, Sharpless 217;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-218;DrkN;05:41:16.57;+52:11:18.28;Aur;70.00;;;;;;;;;;;;;;;;;;;;;;SH 2-218, Sh 2-218, Sharpless 218;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-219;HII;04:56:08.02;+47:23:42.54;Aur;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-219, Sh 2-219, Sharpless 219;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-221;SNR;05:01:40.01;+46:20:55.79;Aur;120.00;;;;;;;;;;;;;;;;;;;;;;SH 2-221, Sh 2-221, Sharpless 221;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-222;RfN;04:30:09.85;+35:16:12.21;Per;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-222, Sh 2-222, Sharpless 222;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-223;SNR;05:17:11.9;+42:12:42.61;Aur;70.00;;;;;;;;;;;;;;;;;;;;;;SH 2-223, Sh 2-223, Sharpless 223;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-224;SNR;05:27:16.12;+42:58:16.27;Aur;30.00;;;;;;;;;;;;;;;;;;;;;;SH 2-224, Sh 2-224, Sharpless 224;Rice Hat Nebula;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-225;HII;05:27:00.38;+40:37:17.84;Aur;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-225, Sh 2-225, Sharpless 225;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-226;HII;05:11:06.82;+37:59:33.4;Aur;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-226, Sh 2-226, Sharpless 226;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-227;HII;05:19:53.28;+38:57:18.64;Aur;20.00;;;;;;;;;;;;;;;;;;;;;;SH 2-227, Sh 2-227, Sharpless 227;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-228;HII;05:13:35.12;+37:27:12.19;Aur;8.00;;;;;;;;;;;;;;;;;;;;;;SH 2-228, Sh 2-228, Sharpless 228;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-230;HII;05:22:30.37;+34:07:54.93;Aur;300.00;;;;;;;;;;;;;;;;;;;;;;SH 2-230, Sh 2-230, Sharpless 230;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-231;HII;05:39:19.57;+35:55:29.83;Aur;12.00;;;;;;;;;;;;;;;;;;;;;;SH 2-231, Sh 2-231, Sharpless 231;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-232;HII;05:42:26.69;+36:12:02.77;Aur;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-232, Sh 2-232, Sharpless 232;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-233;HII;05:38:43.07;+35:47:35.09;Aur;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-233, Sh 2-233, Sharpless 233;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-235;HII;05:41:01.4;+35:51:15.05;Aur;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-235, Sh 2-235, Sharpless 235;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-239;RfN;04:31:17.4;+18:07:00.08;Tau;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-239, Sh 2-239, Sharpless 239;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-240;SNR;05:39:06;+27:59:55;Tau;180.00;;;;6.5;;;;;;;;;;;;;;;;;;SH 2-240, Sh 2-240, Sharpless 240;Spaghetti Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-241;HII;06:04:07.31;+30:14:52.02;Aur;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-241, Sh 2-241, Sharpless 241;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-242;HII;05:51:51.38;+27:00:38.54;Tau;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-242, Sh 2-242, Sharpless 242;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-243;HII;05:39:22.52;+23:17:26.6;Tau;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-243, Sh 2-243, Sharpless 243;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-245;HII;04:02:33.45;+04:07:42.9;Tau;720.00;;;;;;;;;;;;;;;;;;;;;;SH 2-245, Sh 2-245, Sharpless 245;Fishhook Nebula;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-246;HII;05:02:09.59;+14:05:44.5;Ori;65.00;;;;;;;;;;;;;;;;;;;;;;SH 2-246, Sh 2-246, Sharpless 246;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-247;HII;06:08:30.34;+21:37:11.87;Gem;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-247, Sh 2-247, Sharpless 247;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-249;HII;06:20:58.24;+23:05:23.28;Gem;80.00;;;;;;;;;;;;;;;;;;;;;;SH 2-249, Sh 2-249, Sharpless 249;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-250;HII;04:40:11.32;+07:21:46.21;Tau;10.00;;;;;;;;;;;;;;;;;;;;;;SH 2-250, Sh 2-250, Sharpless 250;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-251;HII;04:32:49.83;+05:51:45.84;Tau;35.00;;;;;;;;;;;;;;;;;;;;;;SH 2-251, Sh 2-251, Sharpless 251;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-252;HII;06:09:39.34;+20:30:01.6;Ori;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-252, Sh 2-252, Sharpless 252;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-253;HII;06:25:43.92;+20:01:41.2;Gem;5.00;;;;;;;;;;;;;;;;;;;;;;SH 2-253, Sh 2-253, Sharpless 253;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-254;HII;06:12:20.9;+18:02:37.59;Ori;11.00;;;;;;;;;;;;;;;;;;;;;;SH 2-254, Sh 2-254, Sharpless 254;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-255;HII;06:13:08.72;+17:58:30.62;Ori;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-255, Sh 2-255, Sharpless 255;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-256;HII;06:12:38.64;+17:56:34.99;Ori;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-256, Sh 2-256, Sharpless 256;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-257;HII;06:12:50.73;+17:58:33.24;Ori;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-257, Sh 2-257, Sharpless 257;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-258;HII;06:13:32.59;+17:55:27.13;Ori;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-258, Sh 2-258, Sharpless 258;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-259;HII;06:11:37.37;+17:26:43.83;Ori;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-259, Sh 2-259, Sharpless 259;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-260;HII;04:55:07.87;+05:39:42.23;Ori;22.00;;;;;;;;;;;;;;;;;;;;;;SH 2-260, Sh 2-260, Sharpless 260;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-261;HII;06:08:57.2;+15:48:06.86;Ori;45.00;;;;;;;;;;;;;;;;;;;;;;SH 2-261, Sh 2-261, Sharpless 261;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-262;HII;05:06:45.24;+06:10:04.34;Ori;20.00;;;;;;;;;;;;;;;;;;;;;;SH 2-262, Sh 2-262, Sharpless 262;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-263;HII;05:21:44.68;+08:23:56.54;Ori;22.00;;;;;;;;;;;;;;;;;;;;;;SH 2-263, Sh 2-263, Sharpless 263;Raspberry Nebula;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-264;HII;05:35:12.53;+09:56:00.37;Ori;390.00;;;;;;;;;;;;;;;;;;;;;;SH 2-264, Sh 2-264, Sharpless 264;Angelfish Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-265;HII;05:18:36.38;+07:26:23.36;Ori;70.00;;;;;;;;;;;;;;;;;;;;;;SH 2-265, Sh 2-265, Sharpless 265;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-267;HII;06:15:53.35;+14:16:05.97;Ori;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-267, Sh 2-267, Sharpless 267;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-268;HII;06:10:15.05;+13:19:55.07;Ori;60.00;;;;;;;;;;;;;;;;;;;;;;SH 2-268, Sh 2-268, Sharpless 268;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-269;HII;06:14:34.25;+13:49:17.4;Ori;4.00;;;;;;;;;;;;;;;;;;;;;;SH 2-269, Sh 2-269, Sharpless 269;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-270;HII;06:10:13.78;+12:48:55.16;Ori;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-270, Sh 2-270, Sharpless 270;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-271;HII;06:14:54.64;+12:21:14.17;Ori;2.00;;;;;;;;;;;;;;;;;;;;;;SH 2-271, Sh 2-271, Sharpless 271;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-272;HII;06:15:00.6;+12:20:13.3;Ori;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-272, Sh 2-272, Sharpless 272;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-273;HII;06:40:48.51;+09:54:28.68;Mon;250.00;;;;;;;;;;;;;;;;;;;;;;SH 2-273, Sh 2-273, Sharpless 273;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-274;PN;07:29:02.7;+13:14:48.4;Gem;10.25;10.25;;;15.99;;;;;;;;;;;;;;;;;;SH 2-274, Sh 2-274, Sharpless 274;Medusa Nebula;;;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-276;HII;05:27:28.12;-03:57:54.87;Ori;840.00;600.00;165;;5.0;;;;24.5;;;;;;;;;;;;;;SH 2-276, Sh 2-276, Sharpless 276;Barnard's Loop;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-278;HII;05:19:48.23;-05:39:49.06;Ori;50.00;;;;;;;;;;;;;;;;;;;;;;SH 2-278, Sh 2-278, Sharpless 278;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-280;HII;06:34:19.34;+02:32:23.52;Mon;40.00;;;;;;;;;;;;;;;;;;;;;;SH 2-280, Sh 2-280, Sharpless 280;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-282;HII;06:37:58.96;+01:30:51.68;Mon;35.00;;;;;;;;;;;;;;;;;;;;;;SH 2-282, Sh 2-282, Sharpless 282;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-283;HII;06:38:39.12;+00:42:45.76;Mon;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-283, Sh 2-283, Sharpless 283;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-284;HII;06:45:02.02;+00:13:50.68;Mon;80.00;;;;;;;;;;;;;;;;;;;;;;SH 2-284, Sh 2-284, Sharpless 284;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-285;HII;06:55:12.36;-00:30:36.5;Mon;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-285, Sh 2-285, Sharpless 285;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-286;HII;06:54:33.25;-04:30:31.6;Mon;6.00;;;;;;;;;;;;;;;;;;;;;;SH 2-286, Sh 2-286, Sharpless 286;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-287;HII;06:59:32.65;-04:48:14.05;Mon;12.00;;;;;;;;;;;;;;;;;;;;;;SH 2-287, Sh 2-287, Sharpless 287;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-288;HII;07:08:33.9;-04:18:30.04;Mon;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-288, Sh 2-288, Sharpless 288;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-289;HII;06:45:56.59;-07:20:18.38;Mon;11.00;;;;;;;;;;;;;;;;;;;;;;SH 2-289, Sh 2-289, Sharpless 289;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-290;PN;08:54:11.08;+08:55:16.1;Cnc;16.2;16.2;;;15.5;;;;;;;;;;;;;;;;;;SH 2-290, Sh 2-290, Sharpless 290;Abell 31;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-291;HII;06:55:25.18;-08:01:39.54;Mon;8.00;;;;;;;;;;;;;;;;;;;;;;SH 2-291, Sh 2-291, Sharpless 291;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-292;HII;07:04:25.8;-10:26:56.27;Mon;21.00;;;;;;;;;;;;;;;;;;;;;;SH 2-292, Sh 2-292, Sharpless 292;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-293;HII;07:01:47.71;-11:18:34.17;CMa;11.00;;;;;;;;;;;;;;;;;;;;;;SH 2-293, Sh 2-293, Sharpless 293;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-294;HII;07:16:35;-09:25:43;Mon;7.00;7.00;;;;;;;;;;;;;;;;;;;;;SH 2-294, Sh 2-294, Sharpless 294;Octopus Nebula;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|MinAx:2|Identifiers:2
SH2-295;HII;07:02:41.38;-11:27:41.75;CMa;8.00;;;;;;;;;;;;;;;;;;;;;;SH 2-295, Sh 2-295, Sharpless 295;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-297;HII;07:05:15.42;-12:20:03.54;CMa;7.00;;;;;;;;;;;;;;;;;;;;;;SH 2-297, Sh 2-297, Sharpless 297;;;Best-effort extraction from Wikipedia infobox plus VizieR VII/20 Sharpless catalogue when available. Verify against SIMBAD when possible.;Type:2|RA:2|Dec:2|Const:99|MajAx:2|Identifiers:2
SH2-299;HII;07:30:39.76;-15:17:34.07;Pup;1.00;;;;;;;;;;;;;;;;;;;;;;SH 2-299, Sh 2-299, Sharpless 299;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-300;HII;07:31:03.51;-15:24:37.29;Pup;3.00;;;;;;;;;;;;;;;;;;;;;;SH 2-300, Sh 2-300, Sharpless 300;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-301;HII;07:09:48.84;-18:28:42.82;CMa;9.00;;;;;;;;;;;;;;;;;;;;;;SH 2-301, Sh 2-301, Sharpless 301;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-302;HII;07:31:41.89;-16:58:42.71;Pup;21.00;;;;;;;;;;;;;;;;;;;;;;SH 2-302, Sh 2-302, Sharpless 302;RCW 7;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-303;HII;06:54:01.79;-22:25:30.22;CMa;90.00;;;;;;;;;;;;;;;;;;;;;;SH 2-303, Sh 2-303, Sharpless 303;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
SH2-304;HII;06:43:26.61;-24:07:59.9;CMa;200.00;;;;;;;;;;;;;;;;;;;;;;SH 2-304, Sh 2-304, Sharpless 304;;;VizieR-only mode: coordinates/diameter pulled from VizieR VII/20 Sharpless catalogue. Constellation derived from RA/Dec using astropy. Type/common names not filled in this mode.;Type:2|RA:2|Dec:2|MajAx:2|Identifiers:2
